Multiples of number 9: 
1 * 9 = 9
2 * 9 = 18
3 * 9 = 27
4 * 9 = 36
5 * 9 = 45
6 * 9 = 54
7 * 9 = 63
8 * 9 = 72
9 * 9 = 81
10 * 9 = 90
11 * 9 = 99
12 * 9 = 108
13 * 9 = 117
14 * 9 = 126
15 * 9 = 135
16 * 9 = 144
17 * 9 = 153
18 * 9 = 162
19 * 9 = 171
20 * 9 = 180
21 * 9 = 189
22 * 9 = 198
23 * 9 = 207
24 * 9 = 216
25 * 9 = 225
26 * 9 = 234
27 * 9 = 243
28 * 9 = 252
29 * 9 = 261
30 * 9 = 270
31 * 9 = 279
32 * 9 = 288
33 * 9 = 297
34 * 9 = 306
35 * 9 = 315
36 * 9 = 324
37 * 9 = 333
38 * 9 = 342
39 * 9 = 351
40 * 9 = 360
41 * 9 = 369
42 * 9 = 378
43 * 9 = 387
44 * 9 = 396
45 * 9 = 405
46 * 9 = 414
47 * 9 = 423
48 * 9 = 432
49 * 9 = 441
50 * 9 = 450
51 * 9 = 459
52 * 9 = 468
53 * 9 = 477
54 * 9 = 486
55 * 9 = 495
56 * 9 = 504
57 * 9 = 513
58 * 9 = 522
59 * 9 = 531
60 * 9 = 540
61 * 9 = 549
62 * 9 = 558
63 * 9 = 567
64 * 9 = 576
65 * 9 = 585
66 * 9 = 594
67 * 9 = 603
68 * 9 = 612
69 * 9 = 621
70 * 9 = 630
71 * 9 = 639
72 * 9 = 648
73 * 9 = 657
74 * 9 = 666
75 * 9 = 675
76 * 9 = 684
77 * 9 = 693
78 * 9 = 702
79 * 9 = 711
80 * 9 = 720
81 * 9 = 729
82 * 9 = 738
83 * 9 = 747
84 * 9 = 756
85 * 9 = 765
86 * 9 = 774
87 * 9 = 783
88 * 9 = 792
89 * 9 = 801
90 * 9 = 810
91 * 9 = 819
92 * 9 = 828
93 * 9 = 837
94 * 9 = 846
95 * 9 = 855
96 * 9 = 864
97 * 9 = 873
98 * 9 = 882
99 * 9 = 891
